as_of,snapshot_date,baseline_date,leader,leader_return_pct,valid_count,constituent_count
2026-08-07,2026-08-07,2026-08-05,SPCX,18.4569,102,102
2026-08-10,2026-08-10,2026-08-05,MNST,92.6667,102,102
2026-08-11,2026-08-11,2026-08-05,ABNB,20.1848,102,102
2026-08-12,2026-08-12,2026-08-05,SPCX,30.0614,101,102
2026-08-13,2026-08-13,2026-08-05,SPCX,25.7364,102,102
2026-08-14,2026-08-14,2026-08-05,NBIS,26.2469,102,102
2026-08-17,2026-08-17,2026-08-05,SPCX,30.1326,102,102
2026-08-18,2026-08-18,2026-08-05,SPCX,27.5607,102,102
2026-08-19,2026-08-19,2026-08-05,SPCX,24.2769,102,102
2026-08-20,2026-08-20,2026-08-05,ABNB,20.1978,102,102
2026-08-21,2026-08-21,2026-08-05,SPCX,21.892,102,102
